filename,url,md5
NHD_H_0501_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c30ae4b0d1f9f050de77?f=__disk__96%2F79%2F63%2F967963818ee758d980238c573fc2821ee59f7e84,acd01aed356c79b9ae29167baa9b6849
NHD_H_0502_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c33fe4b0d1f9f050de7b?f=__disk__31%2Fd4%2F32%2F31d4321cb8b16aff50d5ae649d3e17178b28e424,ee4481aaee399a2d76e14896e93e737f
NHD_H_0503_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c368e4b0d1f9f050de7f?f=__disk__f4%2F86%2F40%2Ff48640b896d02ad3e197230ac2234048c18b57db,8613f22b0beae3f8f9ad292673ef2173
NHD_H_0504_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c3b9e4b0d1f9f050de82?f=__disk__6b%2F1c%2F35%2F6b1c35057f6cc592fc9aecad1a8e2e6671f329f3,8e5c788fc45ef1e877525c6d6c35d525
NHD_H_0505_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c3efe4b0d1f9f050de85?f=__disk__05%2F92%2Fc1%2F0592c11417d3cfd7528330a38ed696a6e73b4bb3,85791c247b36ab2e54bc34952dc275c6
NHD_H_0506_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c42ee4b0d1f9f050de88?f=__disk__80%2Fea%2F68%2F80ea684ec9fbc23ca89d429d020d38ed43aa4bf0,b4f2db1e9ceb436ccb8a720a4c842dd5
NHD_H_0507_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c44ee4b0d1f9f050de8d?f=__disk__d7%2F47%2F95%2Fd74795c1af569e8b7f730dde38c311637a5b0119,337bfc578e733e19705645f22fb3b6aa
NHD_H_0508_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c46fe4b0d1f9f050de90?f=__disk__57%2Fcb%2F6c%2F57cb6c1133dea3739729a5314a98e4e93684c78b,b34309642393e808082d9cff7f0e0929
NHD_H_0509_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c4bde4b0d1f9f050de93?f=__disk__7d%2F8c%2Fe3%2F7d8ce3fb0ce4ae8c2423447cfa1307bd4fd7bbc0,f169ab82dfe949b7c6fb4386b35adb6a
NHD_H_0510_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c51de4b0d1f9f050de98?f=__disk__8c%2F76%2Fd2%2F8c76d22388834073bc46520d46dd3565cd524ffe,171a49e7768f6ac9767f8c450be0c06a
NHD_H_0511_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c552e4b0d1f9f050deb7?f=__disk__1b%2F6d%2Fa7%2F1b6da796b3a4a522d9dc0ea936b530ad087a4164,f64fc9c7e95ba46c930ba2b3c6525ed0
NHD_H_0512_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c5d0e4b0d1f9f050df15?f=__disk__a2%2F61%2F33%2Fa2613306cdc65e4c6d591c5fa981e271606b0841,d8e66293f30c31d9f7ccaec246d08aa8
NHD_H_0513_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c94ee4b0d1f9f050df9b?f=__disk__97%2F7f%2Fa2%2F977fa27e8c59375217ad34316bd863ea255df95b,ab7322ae898f477414568988bb4aa77d
NHD_H_0514_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956c9ace4b0d1f9f050dfa5?f=__disk__88%2F29%2Fd2%2F8829d29ca0e91305ca51cc0cae10f13f6e94ed25,74d4d550c0206277118bdb74f3efbac1
NHD_H_0601_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956ca85e4b0d1f9f050dfaa?f=__disk__24%2Ff4%2F3b%2F24f43b2571f079a94f15e3afcc38228ecf5fc94c,2a29e4adc1c39e7ac0d56ffdb9d8d791
NHD_H_0602_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cb44e4b0d1f9f050dfad?f=__disk__d1%2Fdd%2F25%2Fd1dd251ff3ee114af87f44ab24fa899027b42b64,0f261b4ec918525cb9c18b2412e88701
NHD_H_0603_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cb62e4b0d1f9f050dfb0?f=__disk__cb%2Ffd%2Fe2%2Fcbfde28f6a934b5dfc9b5ba70d917a005e1f7e54,eb89436111acdd4bf13d9ffe5ec63aed
NHD_H_0604_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cb94e4b0d1f9f050dfb4?f=__disk__9e%2F60%2F22%2F9e60222c51f42a3d59eb6bcecda2f5cc77c41ec9,6dc84d8b34f33da150473d2d038b02cd
NHD_H_0701_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cbc5e4b0d1f9f050dfb7?f=__disk__bc%2F64%2F2b%2Fbc642b237bb21ba8be04516d576c33a5d16fefec,fddb73a6d1c8d9ca7ee1f05170e11081
NHD_H_0702_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cc01e4b0d1f9f050dfba?f=__disk__6d%2Fae%2Fee%2F6daeee8de8eeaed046cd2e7b7dbaf2f018d718b1,154d156881d375624917bcfa6efda609
NHD_H_0703_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cc34e4b0d1f9f050dfbd?f=__disk__5a%2Fda%2F57%2F5ada57bdb8b0e94782c1c170b7dd02a09bae039a,096e46f906b15b5e2f26f01df1586778
NHD_H_0704_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cc4ee4b0d1f9f050dfc0?f=__disk__5a%2Fb8%2Ffa%2F5ab8fa8a754781378b04e6411616b5e657dbd250,b57415cc3e415ff6904e59a2d7e6c66d
NHD_H_0705_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cc79e4b0d1f9f050dfc3?f=__disk__c8%2Fc6%2Fe0%2Fc8c6e0022c58eab2063dde0ab89f49b640627a69,497cf46be2a8bbb52fef7a9a15c9ab89
NHD_H_0706_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cc9fe4b0d1f9f050dfc6?f=__disk__51%2Fb9%2F36%2F51b936a1741b5d59396958d92a2c33f67ddfa8e8,b79869424fb688de8e8b6872a9f318e6
NHD_H_0707_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956ccd6e4b0d1f9f050dfc9?f=__disk__97%2F11%2F78%2F971178518a14ee5f2a34c1d68ba439da91c2c209,2da10e1fa625db629eef7d13ae242eb6
NHD_H_0708_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cd0be4b0d1f9f050dfcc?f=__disk__33%2Fd0%2Fd8%2F33d0d8486073815134a4cbb8ba6ce960ace2fddd,8c341aed3f9e048afac55082a26299d7
NHD_H_0709_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cd92e4b0d1f9f050dfcf?f=__disk__96%2Fa6%2F0a%2F96a60a81e25715ab3839152a1a666816e28ed4a5,d22a0919efbb24fbf238849b92487833
NHD_H_0710_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cdc2e4b0d1f9f050dfd2?f=__disk__97%2F24%2Ff1%2F9724f1a85a462032f4ca4768042b1c5dc71c3fb1,fda049e74d6f29e9ba2a68ed4e2f325c
NHD_H_0711_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956ce18e4b0d1f9f050dfd5?f=__disk__58%2Fdd%2F41%2F58dd4128ac1abc2140b4669a108a9af8a712c842,8fc62dadeb548752153ee8815955733e
NHD_H_0712_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956ce64e4b0d1f9f050dfd8?f=__disk__1f%2F50%2F75%2F1f50758487a0864d6b497204cc9936c73fcf5ee2,4a434df5a114718c5a168d35cf63920e
NHD_H_0713_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956ceffe4b0d1f9f050dfdb?f=__disk__ba%2Fd4%2Fc2%2Fbad4c29754776250a602adca9d19b9fae67d5e0d,02430fbbd19752a8012dea598c3b3c2e
NHD_H_0714_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cf7ae4b0d1f9f050dfe0?f=__disk__96%2Ff5%2Fdf%2F96f5df124fd22b25f082880f0400bf4ad7888cc1,c61806bbb117762bdee746434d702717
NHD_H_0801_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956cfd4e4b0d1f9f050dfe8?f=__disk__84%2F3f%2F74%2F843f7415ebccfa5cce126771aa2722d17b2facb8,21873bf6f72a84a18628189b1b372cde
NHD_H_0802_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d012e4b0d1f9f050dfec?f=__disk__a1%2F10%2Fc1%2Fa110c1a5859104e82d8e9cfa8e1bc5fd903b26c3,2867e8305cc20686f65db78bb7b3b2a4
NHD_H_0803_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d06ee4b0d1f9f050dff4?f=__disk__80%2Fb2%2Fc9%2F80b2c9b8015c1bd809ddd64274ca60a54c042a50,153ec2c314866701a04c7e18716c148f
NHD_H_0804_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d106e4b0d1f9f050dff8?f=__disk__a6%2Fa9%2Fd6%2Fa6a9d692d5eaef5e976b561e6b1d350a491ade10,813bdea63910e39bc3d2e1639219df55
NHD_H_0805_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d1a4e4b0d1f9f050dffb?f=__disk__a5%2Fd0%2F39%2Fa5d0397d6d15050c949bfebb3f55ed607f653530,f7093bfa397d3ce7994c541dfb1d4813
NHD_H_0806_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d1cee4b0d1f9f050dffe?f=__disk__ad%2F59%2F3f%2Fad593f9c43cfa37745f2107645a845b44a1d3b0d,cc36a95b0fccd7ed4ef7f67d617b3bd0
NHD_H_0807_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d20ee4b0d1f9f050e001?f=__disk__7f%2Ffb%2F6f%2F7ffb6f871a9179a2c20a34c70fbe24f6a3743389,7e13d14c58a75d80f43bbb618aef4b15
NHD_H_0808_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956d252e4b0d1f9f050e004?f=__disk__7d%2Fc8%2F76%2F7dc8762561de83a9965ca6662c2fbbf553c29542,a7652ba783be61318576e52c79fc9923
